Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
PyStringConversionWithoutDunderMethod;Python;String conversion without dunder method;Python;LOCAL;0.52;19.68%;0;31
InjectedReferences;General;Injected references;;LOCAL;0.28;10.63%;0;84
PyUnusedImports;Python;Unused imports;Python;LOCAL;0.18;6.94%;0;26
PyTypedDict;Python;Invalid TypedDict definition and usages;Python;LOCAL;0.16;5.98%;0;30
PyTestUnpassedFixture;Python;Fixture is not requested by test functions;Python;LOCAL;0.09;3.56%;0;30
PyUnresolvedReferences;Python;Unresolved references;Python;LOCAL;0.09;3.39%;0;28
PyUnusedLocal;Python;Unused local symbols;Python;LOCAL;0.08;2.83%;54;26
PySetFunctionToLiteral;Python;Function call can be replaced with set literal;Python;LOCAL;0.07;2.70%;0;49
PyUnboundLocalVariable;Python;Unbound local variables;Python;LOCAL;0.06;2.34%;0;26
PyStatementEffect;Python;Statement has no effect;Python;LOCAL;0.06;2.18%;0;47
PyTypeHints;Python;Invalid type hints definitions and usages;Python;LOCAL;0.05;2.07%;116;29
PyDeprecation;Python;Deprecated function, class, or module;Python;LOCAL;0.05;1.72%;0;26
PyOverrides;Python;Invalid usages of @override decorator;Python;LOCAL;0.04;1.59%;0;32
PyUnreachableCode;Python;Unreachable code;Python;LOCAL;0.04;1.52%;0;30
PyDunderSlots;Python;Invalid usages of classes with '__slots__' definitions;Python;LOCAL;0.03;1.25%;0;30
PyMethodMayBeStatic;Python;Method is not declared static;Python;LOCAL;0.03;1.11%;9;30
PyFinal;Python;Invalid usages of final classes, methods, and variables;Python;LOCAL;0.03;1.07%;0;26
PySuspiciousBooleanCondition;Python;Suspicious boolean condition;Python;LOCAL;0.03;0.97%;0;30
PyAttributeOutsideInit;Python;An instance attribute is defined outside `__init__`;Python;LOCAL;0.02;0.91%;0;32
PyTupleItemAssignment;Python;Tuple item assignment is prohibited;Python;LOCAL;0.02;0.90%;0;30
PyNoneFunctionAssignment;Python;Using function calls that don't return anything as values;Python;LOCAL;0.02;0.88%;0;26
PyProtocol;Python;Invalid protocol definitions and usages;Python;LOCAL;0.02;0.83%;0;30
PyVariance;Python;Incorrect variance;Python;LOCAL;0.02;0.81%;0;28
PyInvalidEscapeSequence;Python;Invalid escape sequence;Python;LOCAL;0.02;0.79%;0;30
PyInitNewSignature;Python;Incompatible signatures of __new__ and __init__;Python;LOCAL;0.02;0.74%;0;30
PyClassVar;Python;Invalid usage of ClassVar variables;Python;LOCAL;0.02;0.72%;0;30
PyPattern;Python;Invalid pattern in pattern matching;Python;LOCAL;0.02;0.66%;0;30
PyShadowingBuiltins;Python;Shadowing built-in names;Python;LOCAL;0.02;0.66%;0;30
PyAbstractClass;Python;Invalid abstract class definition and usages;Python;LOCAL;0.02;0.65%;0;28
PyDefaultArgument;Python;The default argument is mutable;Python;LOCAL;0.02;0.64%;0;30
PyMissingConstructor;Python;Missed call to '__init__' of the super class;Python;LOCAL;0.02;0.63%;0;30
PySimplifyBooleanCheck;Python;Redundant boolean variable check;Python;LOCAL;0.02;0.62%;0;30
PyTypeAliasRedeclaration;Python;Redeclared type alias;Python;LOCAL;0.02;0.58%;0;30
PyInconsistentReturns;Python;Inconsistent return statements;Python;LOCAL;0.01;0.56%;7;28
PyComparisonWithNone;Python;Using equality operators to compare with None;Python;LOCAL;0.01;0.56%;0;30
PyMethodOverriding;Python;Method signature does not match signature of overridden method;Python;LOCAL;0.01;0.55%;0;30
PyCallingNonCallable;Python;Attempt to call a non-callable object;Python;LOCAL;0.01;0.55%;0;30
PyTupleAssignmentBalance;Python;Tuple assignment balance is incorrect;Python;LOCAL;0.01;0.51%;0;30
PyProtectedMember;Python;Accessing a protected member of a class or a module;Python;LOCAL;0.01;0.49%;9;26
PyDocstringTypes;Python;Type in docstring does not match inferred type;Python;LOCAL;0.01;0.48%;0;30
PyShadowingNames;Python;Shadowing names from outer scopes;Python;LOCAL;0.01;0.47%;2;26
PyNewStyleGenericSyntax;Python;Invalid usage of new-style type parameters and type aliases;Python;LOCAL;0.01;0.47%;0;30
PyMethodParameters;Python;Improper first parameter;Python;LOCAL;0.01;0.47%;0;30
PyAssertType;Python;typing.assert_type;Python;LOCAL;0.01;0.46%;0;30
PyAsyncCall;Python;Missing `await` syntax in coroutine calls;Python;LOCAL;0.01;0.45%;0;30
