# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.counter,1785188862276000000,1785188885597000000,13
cacheStateStorage.get.counter,1785188862276000000,1785188885597000000,9
cacheStateStorage.get.duration,1785188862276000000,1785188885597000000,0
cacheStateStorage.set.duration,1785188862276000000,1785188885597000000,45
Indexes.stubs.lookups,1785188862276000000,1785188885597000000,809
Indexes.allKeys.lookups,1785188862276000000,1785188885597000000,0
Indexing.cache.totalCacheEvicted,1785188862276000000,1785188885597000000,365517
Indexing.writesQueuedMax,1785188862276000000,1785188885597000000,0
Indexes.entries.lookupDuration90PMs,1785188862276000000,1785188885597000000,0.0
Indexes.entries.lookupDurationAvgMs,1785188862276000000,1785188885597000000,0.0
Indexes.entries.lookups,1785188862276000000,1785188885597000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1785188862276000000,1785188885597000000,758
Indexes.stubs.lookupDuration90PMs,1785188862276000000,1785188885597000000,0.0
Indexing.totalTimeIndexersSleptMs,1785188862276000000,1785188885597000000,0
Indexes.stubs.lookupDurationMaxMs,1785188862276000000,1785188885597000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1785188862276000000,1785188885597000000,809
Indexing.cache.totalCacheAccesses,1785188862276000000,1785188885597000000,2975297
Indexes.entries.lookupDurationMaxMs,1785188862276000000,1785188885597000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1785188862276000000,1785188885597000000,0.0
Indexes.stubs.lookupDurationAvgMs,1785188862276000000,1785188885597000000,0.0
Indexing.cache.totalCacheMisses,1785188862276000000,1785188885597000000,365517
Indexing.writer_4.totalTimeSpentWritingMs,1785188862276000000,1785188885597000000,148
Indexing.writer_5.totalTimeSpentWritingMs,1785188862276000000,1785188885597000000,59
Indexes.allKeys.lookupDurationMaxMs,1785188862276000000,1785188885597000000,0.0
Indexes.allKeys.lookupDuration90PMs,1785188862276000000,1785188885597000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1785188862276000000,1785188885597000000,1112
Indexing.writer_0.totalTimeSpentWritingMs,1785188862276000000,1785188885597000000,1067
Indexing.writesQueuedMin,1785188862276000000,1785188885597000000,9223372036854775807
workspaceModel.mutableEntityStorage.entities.by.source.ms,1785188862276000000,1785188885597000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1785188862276000000,1785188885597000000,12
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1785188862276000000,1785188885597000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1785188862276000000,1785188885597000000,0
workspaceModel.mutableEntityStorage.entities.ms,1785188862276000000,1785188885597000000,0
jps.module.iml.entities.serializer.load.entities.ms,1785188862276000000,1785188885597000000,0
jps.global.get.library.ms,1785188862276000000,1785188885597000000,0
jps.app.storage.content.reader.load.component.ms,1785188862276000000,1785188885597000000,0
jps.modifiable.module.model.bridge.disposing.ms,1785188862276000000,1785188885597000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1785188862276000000,1785188885597000000,1
workspaceModel.mutableEntityStorage.collect.changes.ms,1785188862276000000,1785188885597000000,0
jps.artifact.entities.serializer.load.entities.ms,1785188862276000000,1785188885597000000,0
jps.facet.change.listener.process.change.events.ms,1785188862276000000,1785188885597000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1785188862276000000,1785188885597000000,8
jps.reload.project.entities.ms,1785188862276000000,1785188885597000000,1
workspaceModel.moduleManagerBridge.load.module.ms,1785188862276000000,1785188885597000000,0
jps.project.serializers.save.ms,1785188862276000000,1785188885597000000,10
workspaceModel.load.cache.metadata.from.file.ms,1785188862276000000,1785188885597000000,0
jps.modifiable.module.model.bridge.load.module.ms,1785188862276000000,1785188885597000000,0
jps.module.iml.entities.serializer.save.entities.ms,1785188862276000000,1785188885597000000,6
workspaceModel.mutableEntityStorage.has.same.entities.ms,1785188862276000000,1785188885597000000,0
workspaceModel.global.apply.state.to.project.ms,1785188862276000000,1785188885597000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1785188862276000000,1785188885597000000,1
workspaceModel.global.updates.ms,1785188862276000000,1785188885597000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1785188862276000000,1785188885597000000,2
workspaceModel.moduleBridgeLoader.loading.modules.ms,1785188862276000000,1785188885597000000,24
workspaceModel.moduleBridge.before.changed.ms,1785188862276000000,1785188885597000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1785188862276000000,1785188885597000000,0
jps.save.global.entities.ms,1785188862276000000,1785188885597000000,5
workspaceModel.global.updates.count,1785188862276000000,1785188885597000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1785188862276000000,1785188885597000000,1
jps.global.handle.before.change.events.ms,1785188862276000000,1785188885597000000,0
jps.global.get.libraries.ms,1785188862276000000,1785188885597000000,0
jps.modifiable.module.model.bridge.new.module.ms,1785188862276000000,1785188885597000000,17
jps.facet.change.listener.init.bridge.ms,1785188862276000000,1785188885597000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1785188862276000000,1785188885597000000,0
workspaceModel.orphan.listener.update.ms,1785188862276000000,1785188885597000000,2
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1785188862276000000,1785188885597000000,0
jps.project.serializers.load.ms,1785188862276000000,1785188885597000000,3
workspaceModel.mutableEntityStorage.add.entity.ms,1785188862276000000,1785188885597000000,18
workspaceModel.save.cache.to.file.ms,1785188862276000000,1785188885597000000,34
workspaceModel.do.save.caches.ms,1785188862276000000,1785188885597000000,42
workspaceModel.sync.entities.ms,1785188862276000000,1785188885597000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1785188862276000000,1785188885597000000,1
jps.library.entities.serializer.save.entities.ms,1785188862276000000,1785188885597000000,0
jps.library.entities.serializer.load.entities.ms,1785188862276000000,1785188885597000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1785188862276000000,1785188885597000000,3
workspaceModel.load.cache.from.file.ms,1785188862276000000,1785188885597000000,1
jps.save.changed.project.entities.ms,1785188862276000000,1785188885597000000,10
jps.storage.jps.conf.reader.load.component.ms,1785188862276000000,1785188885597000000,1
jps.global.handle.changed.events.ms,1785188862276000000,1785188885597000000,0
jps.load.project.to.empty.storage.ms,1785188862276000000,1785188885597000000,13
jps.facet.change.listener.before.change.events.ms,1785188862276000000,1785188885597000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1785188862276000000,1785188885597000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1785188862276000000,1785188885597000000,41
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1785188862276000000,1785188885597000000,1
workspaceModel.mutableEntityStorage.to.snapshot.ms,1785188862276000000,1785188885597000000,1
workspaceModel.mutableEntityStorage.resolve.ms,1785188862276000000,1785188885597000000,0
jps.artifact.entities.serializer.save.entities.ms,1785188862276000000,1785188885597000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1785188862276000000,1785188885597000000,3
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1785188862276000000,1785188885597000000,0
workspaceModel.mutableEntityStorage.instances.count,1785188862276000000,1785188885597000000,32
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1785188862276000000,1785188885597000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1785188862276000000,1785188885597000000,0
jps.global.initialize.library.bridges.after.loading.ms,1785188862276000000,1785188885597000000,1
jps.app.storage.content.writer.save.component.ms,1785188862276000000,1785188885597000000,1
jps.load.initial.state.ms,1785188862276000000,1785188885597000000,11
jps.global.initialize.library.bridges.ms,1785188862276000000,1785188885597000000,1
jps.apply.loaded.storage.ms,1785188862276000000,1785188885597000000,17
workspaceModel.mutableEntityStorage.hasReferrers.ms,1785188862276000000,1785188885597000000,0
jps.modifiable.module.model.bridge.renaming.ms,1785188862276000000,1785188885597000000,0
workspaceModel.moduleBridge.update.option.ms,1785188862276000000,1785188885597000000,0
jps.global.get.library.by.name.ms,1785188862276000000,1785188885597000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1785188862276000000,1785188885597000000,0
