Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
PyStringConversionWithoutDunderMethod;Python;String conversion without dunder method;Python;LOCAL;0.24;14.68%;0;21
PyTypedDict;Python;Invalid TypedDict definition and usages;Python;LOCAL;0.14;8.45%;0;21
PyTestUnpassedFixture;Python;Fixture is not requested by test functions;Python;LOCAL;0.08;4.73%;0;21
PyUnusedLocal;Python;Unused local symbols;Python;LOCAL;0.07;4.53%;0;21
PyUnusedImports;Python;Unused imports;Python;LOCAL;0.07;4.31%;0;21
PyUnusedFunction;Python;Unused function;Python;LOCAL;0.05;2.95%;0;21
InjectedReferences;General;Injected references;;LOCAL;0.05;2.77%;0;32
PyUnresolvedReferences;Python;Unresolved references;Python;LOCAL;0.04;2.44%;0;21
PySuspiciousBooleanCondition;Python;Suspicious boolean condition;Python;LOCAL;0.04;2.38%;0;21
PyTypeHints;Python;Invalid type hints definitions and usages;Python;LOCAL;0.04;2.38%;157;21
PyDeprecation;Python;Deprecated function, class, or module;Python;LOCAL;0.04;2.25%;0;21
PyUnreachableCode;Python;Unreachable code;Python;LOCAL;0.03;1.94%;0;21
PyDisjointBase;Python;Inheritance from classes with disjoint bases;Python;LOCAL;0.03;1.75%;0;21
PySimplifyBooleanCheck;Python;Redundant boolean variable check;Python;LOCAL;0.03;1.65%;0;21
PyUnusedParameter;Python;Unused parameter;Python;LOCAL;0.02;1.45%;0;21
PyUnboundLocalVariable;Python;Unbound local variables;Python;LOCAL;0.02;1.37%;0;21
PyFinal;Python;Invalid usages of final classes, methods, and variables;Python;LOCAL;0.02;1.24%;0;21
PyCallingNonCallable;Python;Attempt to call a non-callable object;Python;LOCAL;0.02;1.23%;0;21
PyClassVar;Python;Invalid usage of ClassVar variables;Python;LOCAL;0.02;1.07%;0;21
PyVariance;Python;Incorrect variance;Python;LOCAL;0.02;0.99%;0;21
PyAbstractClass;Python;Invalid abstract class definition and usages;Python;LOCAL;0.02;0.95%;0;21
PyProtocol;Python;Invalid protocol definitions and usages;Python;LOCAL;0.01;0.92%;0;21
PyRedeclaration;Python;Redeclared names without usages;Python;LOCAL;0.01;0.76%;0;21
PyAssertType;Python;typing.assert_type;Python;LOCAL;0.01;0.75%;0;21
PyProtectedMember;Python;Accessing a protected member of a class or a module;Python;LOCAL;0.01;0.75%;0;21
PyDunderSlots;Python;Invalid usages of classes with '__slots__' definitions;Python;LOCAL;0.01;0.73%;0;21
PyLazyImport;Python;Invalid use of 'lazy' import;Python;LOCAL;0.01;0.72%;0;21
PyInconsistentReturns;Python;Inconsistent return statements;Python;LOCAL;0.01;0.72%;10;21
PySetFunctionToLiteral;Python;Function call can be replaced with set literal;Python;LOCAL;0.01;0.62%;0;21
PyAsyncCall;Python;Missing `await` syntax in coroutine calls;Python;LOCAL;0.01;0.62%;0;21
PyTupleItemAssignment;Python;Tuple item assignment is prohibited;Python;LOCAL;0.01;0.61%;0;21
PyNonAsciiChar;Python;File contains non-ASCII character;Python;LOCAL;0.01;0.59%;0;21
PyPropertyAccess;Python;Inappropriate access to properties;Python;LOCAL;0.01;0.59%;0;21
PyOldStyleClasses;Python;Old-style class contains new-style class features;Python;LOCAL;0.01;0.57%;0;21
PyMockPatchArgumentCount;Python;Incorrect number of parameters for @patch decorated function;Python;LOCAL;0.01;0.55%;0;21
PyMethodParameters;Python;Improper first parameter;Python;LOCAL;0.01;0.55%;0;21
PyNoneFunctionAssignment;Python;Using function calls that don't return anything as values;Python;LOCAL;0.01;0.55%;0;21
PyOverrides;Python;Invalid usages of @override decorator;Python;LOCAL;0.01;0.54%;0;21
PyRedundantParentheses;Python;Redundant parentheses;Python;LOCAL;0.01;0.54%;0;21
PyTrailingSemicolon;Python;Prohibited trailing semicolon in a statement;Python;LOCAL;0.01;0.54%;0;21
PyByteLiteral;Python;A byte literal contains a non-ASCII character;Python;LOCAL;0.01;0.54%;0;21
PyMethodFirstArgAssignment;Python;First argument of the method is reassigned;Python;LOCAL;0.01;0.53%;0;21
PyExceptionInherit;Python;Exceptions do not inherit from standard 'Exception' class;Python;LOCAL;0.01;0.53%;0;21
PyNewType;Python;Invalid usage of NewType;Python;LOCAL;0.01;0.53%;0;21
PyMethodOverriding;Python;Method signature does not match signature of overridden method;Python;LOCAL;0.01;0.52%;0;21
PyInvalidEscapeSequence;Python;Invalid escape sequence;Python;LOCAL;0.01;0.51%;0;21
PyUnnecessaryCast;Python;Unnecessary type cast;Python;LOCAL;0.01;0.50%;0;21
PyShadowingBuiltins;Python;Shadowing built-in names;Python;LOCAL;0.01;0.50%;0;21
PyAttributeOutsideInit;Python;An instance attribute is defined outside `__init__`;Python;LOCAL;0.01;0.49%;0;21
PyPackageRequirements;Python;Unsatisfied package requirements;none;LOCAL;0.01;0.49%;0;21
PyChainedComparisons;Python;Too complex chained comparisons;Python;LOCAL;0.01;0.49%;0;21
PyStubPackagesAdvertiser;Python;Stub packages advertiser;Python;LOCAL;0.01;0.49%;0;21
PyDocstringTypes;Python;Type in docstring does not match inferred type;Python;LOCAL;0.01;0.48%;0;21
PyBroadException;Python;Unclear exception clauses;Python;LOCAL;0.01;0.47%;0;21
PyDecorator;Python;Class-specific decorator is used outside the class;Python;LOCAL;0.01;0.47%;0;21
PyMethodMayBeStatic;Python;Method is not declared static;Python;LOCAL;0.01;0.47%;0;21
PyStatementEffect;Python;Statement has no effect;Python;LOCAL;0.01;0.47%;0;21
PyTestParametrized;Python;Incorrect arguments in @pytest.mark.parametrize;Python;LOCAL;0.01;0.47%;0;21
PyComparisonWithNone;Python;Using equality operators to compare with None;Python;LOCAL;0.01;0.47%;0;21
PyShadowingNames;Python;Shadowing names from outer scopes;Python;LOCAL;0.01;0.46%;0;21
PyGlobalUndefined;Python;Global variable is not defined at the module level;Python;LOCAL;0.01;0.46%;0;21
PyAssignmentToLoopOrWithParameter;Python;Assignments to 'for' loop or 'with' statement parameter;Python;LOCAL;0.01;0.45%;0;21
PySuperArguments;Python;Wrong arguments to call super;Python;LOCAL;0.01;0.45%;0;21
PyDictCreation;Python;Dictionary creation can be rewritten by dictionary literal;Python;LOCAL;0.01;0.44%;0;21
PyInconsistentIndentation;Python;Inconsistent indentation;Python;LOCAL;0.01;0.44%;0;21
PyPackages;Python;Suspicious relative imports;Python;LOCAL;0.01;0.44%;0;21
PyNewStyleGenericSyntax;Python;Invalid usage of new-style type parameters and type aliases;Python;LOCAL;0.01;0.43%;0;21
PyInvalidCast;Python;Type cast between unrelated types;Python;LOCAL;0.01;0.43%;0;21
PyMissingConstructor;Python;Missed call to '__init__' of the super class;Python;LOCAL;0.01;0.43%;0;21
PySingleQuotedDocstring;Python;Single quoted docstring;Python;LOCAL;0.01;0.43%;0;21
PyTypeAliasRedeclaration;Python;Redeclared type alias;Python;LOCAL;0.01;0.42%;0;21
PyUnnecessaryBackslash;Python;Unnecessary backslash;Python;LOCAL;0.01;0.42%;0;21
PyFromFutureImport;Python;Improper position of from __future__ import;Python;LOCAL;0.01;0.41%;0;21
PyStringFormat;Python;Errors in string formatting operations;Python;LOCAL;0.01;0.41%;0;21
PyNestedDecorators;Python;Problematic nesting of decorators;Python;LOCAL;0.01;0.41%;0;21
PyClassHasNoInit;Python;Class has no `__init__` method;Python;LOCAL;0.01;0.40%;36;21
PyIncorrectDocstring;Python;Incorrect docstring;Python;LOCAL;0.01;0.40%;0;21
PyPep8Naming;Python;PEP 8 naming convention violation;Python;LOCAL;0.01;0.39%;0;21
PyDefaultArgument;Python;The default argument is mutable;Python;LOCAL;0.01;0.39%;0;21
PyStubPackagesCompatibility;Python;Incompatible stub packages;Python;LOCAL;0.01;0.38%;0;21
PyOverloads;Python;Overloads in regular Python files;Python;LOCAL;0.01;0.37%;0;21
PyUnhashable;Python;Unhashable values in dictionary keys and set elements;Python;LOCAL;0.01;0.37%;0;21
PyPattern;Python;Invalid pattern in pattern matching;Python;LOCAL;0.01;0.36%;0;21
PyNamedTuple;Python;Invalid definition of 'typing.NamedTuple';Python;LOCAL;0.01;0.36%;0;21
PyReturnFromInit;Python;__init__ method that returns a value;Python;LOCAL;0.01;0.36%;0;21
PyInitNewSignature;Python;Incompatible signatures of __new__ and __init__;Python;LOCAL;0.01;0.35%;0;21
PyExceptClausesOrder;Python;Wrong order of 'except' clauses;Python;LOCAL;0.01;0.34%;0;21
PyDictDuplicateKeys;Python;Dictionary contains duplicate keys;Python;LOCAL;0.01;0.31%;0;21
PyPropertyDefinition;Python;Incorrect property definition;Python;LOCAL;0.01;0.31%;0;21
PyEnum;Python;Invalid Enum definition and usages;Python;LOCAL;0.00;0.30%;0;21
PyListCreation;Python;Non-optimal list declaration;Python;LOCAL;0.00;0.28%;0;21
TomlUnresolvedReference;TOML;Unresolved reference;TOML;LOCAL;0.00;0.20%;0;1
CustomRegExpInspection;RegExp;Custom RegExp inspection;;LOCAL;0.00;0.08%;0;32
