# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.ContentWriter.totalTimeSpentOnSyncOperationsUs,1787998616899000000,1787998638991000000,0
VFS.ContentWriter.totalTasksExecutedAsync,1787998616899000000,1787998638991000000,0
VFS.ContentWriter.totalFlushes,1787998616899000000,1787998638991000000,0
VFS.ContentWriter.totalTimeSpentOnAsyncOperationsUs,1787998616899000000,1787998638991000000,0
VFS.ContentWriter.totalTasksExecutedSync,1787998616899000000,1787998638991000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1787998616899000000,1787998638991000000,3
workspaceModel.mutableEntityStorage.referrers.ms,1787998616899000000,1787998638991000000,0
jps.apply.loaded.storage.ms,1787998616899000000,1787998638991000000,60
jps.save.changed.project.entities.ms,1787998616899000000,1787998638991000000,7
jps.global.initialize.library.bridges.after.loading.ms,1787998616899000000,1787998638991000000,1
workspaceModel.moduleManagerBridge.load.module.ms,1787998616899000000,1787998638991000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1787998616899000000,1787998638991000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1787998616899000000,1787998638991000000,0
jps.load.initial.state.ms,1787998616899000000,1787998638991000000,7
workspaceModel.load.cache.from.file.ms,1787998616899000000,1787998638991000000,0
workspaceModel.moduleBridge.before.changed.ms,1787998616899000000,1787998638991000000,0
jps.global.initialize.library.bridges.ms,1787998616899000000,1787998638991000000,0
workspaceModel.global.updates.ms,1787998616899000000,1787998638991000000,0
jps.facet.change.listener.before.change.events.ms,1787998616899000000,1787998638991000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1787998616899000000,1787998638991000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1787998616899000000,1787998638991000000,1
jps.reload.project.entities.ms,1787998616899000000,1787998638991000000,0
jps.global.get.library.by.name.ms,1787998616899000000,1787998638991000000,0
workspaceModel.sync.entities.ms,1787998616899000000,1787998638991000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1787998616899000000,1787998638991000000,0
jps.library.entities.serializer.load.entities.ms,1787998616899000000,1787998638991000000,0
jps.app.storage.content.writer.save.component.ms,1787998616899000000,1787998638991000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1787998616899000000,1787998638991000000,0
jps.module.iml.entities.serializer.save.entities.ms,1787998616899000000,1787998638991000000,4
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1787998616899000000,1787998638991000000,1
